text,language,source,friendly,confident,arrogant,sincere,humorous,cliche,aggressive,awkward_or_cringe,length_bucket,has_emoji,has_negative_patterns,has_demands,cliche_count
"Люблю ранние завтраки, велопрогулки и разговоры без телефона. верю, что забота в деталях 🌊🌊🌊 не трать моё время, если не готов к диалогу люблю кино, музыку и прогулки",ru,warm_ru,1,0,1,1,0,1,1,0,mid,True,False,False,1
"Соревнуюсь в плохих шутках и могу пересказать весь 'Офис'. ищу человека, который ценит маленькие ритуалы люблю кино, музыку и прогулки 🌊🌊🌊 люблю кино, музыку и прогулки",ru,funny_ru,1,0,0,1,1,1,0,0,mid,True,False,False,1
"Без амбиций и цели не пишите: я ценю людей, которые растут. 😅✨ foodie, sunsets, travel ищу человека, который ценит маленькие ритуалы 😅✨",ru,demanding_ru,1,1,1,1,0,1,0,0,mid,True,False,True,1
"Люблю путешествовать, закаты и вкусно поесть. не трать моё время, если не готов к диалогу bad jokes and good playlists are my love language foodie, sunsets, travel 😅✨",ru,cliche_ru,0,0,1,0,1,1,1,0,mid,True,False,False,1
"Здесь по приколу, удиви меня или пролистывай дальше. don't text unless you keep promises looking for someone kind and curious 🌊🌊🌊",ru,awkward_ru,1,0,1,1,0,1,1,1,mid,True,True,False,0
"Хватит людей без целей: если только лежишь на диване — мимо. не трать моё время, если не готов к диалогу 😂🔥 люблю кино, музыку и прогулки люблю кино, музыку и прогулки",ru,aggressive_ru,0,0,1,0,0,1,1,0,mid,True,False,False,1
"Инженер, люблю запускать проекты и ценю честные разговоры. умею смеяться над собой и над странными датами",ru,confident_ru,1,1,0,0,1,0,0,0,mid,False,False,False,0
"Coffee geek, dog person and believer in gentle mornings. bad jokes and good playlists are my love language не трать моё время, если не готов к диалогу",en,warm_en,1,0,1,1,1,0,1,0,mid,False,False,False,0
"Recovering meme hoarder, fluent in sarcasm and midnight pancakes. looking for someone kind and curious умею смеяться над собой и над странными датами не трать моё время, если не готов к диалогу",en,funny_en,1,0,1,1,1,0,1,0,mid,False,False,False,0
"Swipe left unless you're proactive, tall, and know your goals. 😅✨ умею смеяться над собой и над странными датами не трать моё время, если не готов к диалогу",en,demanding_en,0,1,1,0,1,0,1,0,mid,True,False,False,0
"Люблю ранние завтраки, велопрогулки и разговоры без телефона. не трать моё время, если не готов к диалогу looking for someone kind and curious",ru,warm_ru,1,0,1,1,0,0,1,0,mid,False,False,False,0
"Соревнуюсь в плохих шутках и могу пересказать весь 'Офис'. foodie, sunsets, travel 🌊🌊🌊 don't text unless you keep promises foodie, sunsets, travel",ru,funny_ru,1,0,1,0,1,1,1,0,mid,True,True,False,1
"Без амбиций и цели не пишите: я ценю людей, которые растут. 😅✨ люблю кино, музыку и прогулки 😅✨",ru,demanding_ru,0,1,1,0,0,1,0,0,mid,True,False,True,1
